1	Drake	40,934,169,919	16,133,601,623	248	4	103	240	244	09/14/21
2	Ed Sheeran	30,547,913,127	2,272,253,488	185	6	55	144	167	09/14/21
3	Ariana Grande	26,915,029,479	1,740,513,146	178	4	60	122	171	09/14/21
4	Bad Bunny	25,559,549,039	5,695,336,471	136	2	74	129	135	09/14/21
5	The Weeknd	25,488,865,275	3,238,484,343	145	6	56	121	136	09/14/21
6	Post Malone	25,222,974,520	2,226,012,115	66	8	52	64	65	09/14/21
7	Justin Bieber	24,807,511,675	7,856,762,870	215	4	50	160	187	09/14/21
8	Eminem	24,552,191,131	3,478,144,078	274	2	56	216	254	09/14/21
9	Taylor Swift	21,421,214,237	309,121,951	286	1	59	209	276	09/14/21
10	J Balvin	21,242,413,593	8,587,892,889	223	2	59	125	204	09/14/21
11	BTS	20,089,090,757	145,842,828	245	1	78	187	244	09/14/21
12	Kanye West	19,082,360,235	4,753,299,918	229	0	50	184	208	09/14/21
13	Billie Eilish	18,263,077,826	0	62	3	38	56	61	09/14/21
14	Ozuna	18,114,850,818	6,629,892,412	201	1	46	141	183	09/14/21
15	Khalid	18,070,711,740	2,565,013,996	94	6	34	82	92	09/14/21
16	XXXTENTACION	17,744,354,631	2,227,450,816	130	5	37	98	112	09/13/21
17	Juice WRLD	17,480,665,451	2,600,376,256	96	1	50	94	95	09/14/21
18	Coldplay	17,364,164,106	0	278	2	27	156	256	09/12/21
19	Rihanna	17,221,968,838	7,034,822,955	273	1	42	106	197	09/14/21
20	Travis Scott	17,133,505,151	7,984,247,061	109	3	42	87	102	09/14/21
21	Imagine Dragons	17,027,670,324	55,808,836	129	4	32	94	123	09/14/21
22	Maroon 5	16,630,717,607	16,007	239	3	28	100	193	09/14/21
23	Dua Lipa	16,379,998,935	266,412,192	185	4	29	74	148	09/14/21
24	Shawn Mendes	15,993,872,614	101,950,743	123	4	27	90	115	09/14/21
25	David Guetta	15,403,621,897	993,448,845	628	1	40	125	345	09/13/21
26	Calvin Harris	15,316,225,636	373,506,113	215	2	27	81	167	09/06/21
27	Daddy Yankee	14,851,268,617	4,616,966,519	342	3	38	83	197	09/14/21
28	Sam Smith	14,258,008,307	256,736,634	137	3	28	77	121	09/14/21
29	Bruno Mars	14,114,330,842	3,246,143,968	71	4	28	52	66	09/14/21
30	The Chainsmokers	13,750,019,470	360,504,048	173	3	23	72	147	09/04/21
31	Queen	13,654,991,776	27,427,624	558	3	23	86	390	09/14/21
32	Kendrick Lamar	13,641,911,486	7,357,624,383	102	1	30	90	96	09/14/21
33	Beyoncé	12,834,041,394	1,808,880,659	339	1	29	146	244	09/14/21
34	Future	12,759,488,091	7,404,831,529	457	1	23	193	334	09/14/21
35	Chris Brown	12,755,947,476	7,308,256,510	392	0	34	180	320	09/14/21
36	One Direction	12,662,532,240	0	124	0	37	99	115	09/14/21
37	Sia	12,598,221,589	2,700,756,940	310	3	25	101	218	09/14/21
38	Nicki Minaj	12,561,757,362	9,773,685,964	159	1	31	108	152	09/14/21
39	Halsey	12,226,697,504	2,031,815,017	148	3	24	82	123	09/10/21
40	Lady Gaga	12,141,948,192	81,419,539	296	1	26	103	179	09/14/21
41	Selena Gomez	12,083,741,287	1,827,606,491	133	3	22	73	119	09/14/21
42	J. Cole	11,753,086,426	2,694,567,942	148	1	30	105	131	09/12/21
43	Anuel AA	11,378,250,802	4,258,993,099	136	0	25	106	126	09/13/21
44	The Beatles	11,244,623,273	0	727	0	26	168	408	09/14/21
45	Twenty One Pilots	11,230,507,469	42,658	83	3	32	71	81	09/13/21
46	Maluma	11,172,820,170	5,072,899,166	176	0	30	113	168	09/14/21
47	Kygo	11,025,805,297	1,025,455,514	100	1	27	82	97	09/09/21
48	Marshmello	10,847,934,482	467,562,993	139	4	17	80	129	09/04/21
49	Avicii	10,822,611,444	470,678,196	249	1	17	85	157	09/12/21
50	Linkin Park	10,741,992,192	43,111,002	348	1	25	105	274	09/14/21
51	Lil Uzi Vert	10,585,009,206	5,029,528,102	126	1	28	106	125	09/08/21
52	Katy Perry	10,175,015,121	1,047,280,675	180	0	27	81	139	09/13/21
53	Camila Cabello	9,708,971,014	1,954,892,775	54	2	22	39	43	09/14/21
54	Adele	9,606,680,830	26,366,451	62	2	19	45	57	09/14/21
55	Jason Derulo	9,527,137,283	627,295,748	187	0	25	62	126	09/04/21
56	Lana Del Rey	9,486,451,785	597,808,523	148	0	25	98	135	09/14/21
57	Farruko	9,347,417,918	5,627,914,428	300	0	27	107	249	09/04/21
58	Demi Lovato	9,090,970,656	1,198,961,194	227	0	21	82	180	09/14/21
59	Red Hot Chili Peppers	8,916,068,361	3,017,678	246	0	14	108	198	09/14/21
60	Nicky Jam	8,892,077,875	7,851,119,963	230	0	26	84	143	09/04/21
61	Shakira	8,622,890,090	956,771,691	227	0	20	83	190	09/14/21
62	Arctic Monkeys	8,563,685,777	2,178,344	133	1	16	85	133	09/14/21
63	Martin Garrix	8,295,382,362	77,399,606	180	1	16	76	144	09/06/21
64	Major Lazer	8,049,317,468	547,937,562	257	3	14	63	167	09/04/21
65	Panic! At The Disco	8,045,954,335	587,502,187	137	1	20	80	129	09/13/21
66	G-Eazy	8,045,533,359	2,131,834,917	202	0	15	109	189	09/14/21
67	OneRepublic	7,931,977,563	196,933,704	143	1	24	70	120	09/14/21
68	Miley Cyrus	7,931,944,293	775,017,155	175	0	14	82	153	09/14/21
69	Michael Jackson	7,903,658,943	487,673,720	343	0	21	88	233	09/14/21
70	Pitbull	7,814,629,202	2,586,356,188	385	0	20	79	206	09/04/21
71	Ellie Goulding	7,703,974,706	617,487,487	164	1	16	66	130	09/13/21
72	Cardi B	7,665,158,337	5,540,332,883	65	1	16	48	62	09/13/21
73	Charlie Puth	7,661,097,562	199,237,205	96	3	11	51	83	09/14/21
74	Harry Styles	7,591,594,633	74,326	25	1	22	24	24	09/14/21
75	Wiz Khalifa	7,569,993,387	5,787,161,949	389	1	18	103	284	09/13/21
76	Lil Wayne	7,512,400,811	10,796,250,856	452	0	18	106	289	09/14/21
77	Rauw Alejandro	7,439,808,545	1,362,802,015	159	0	24	82	123	09/14/21
78	KAROL G	7,418,862,408	463,151,868	76	1	21	50	72	09/14/21
79	Sebastian Yatra	7,325,766,235	735,624,555	98	0	25	69	90	09/14/21
80	Logic	7,312,618,344	1,702,374,573	162	1	13	120	160	09/12/21
81	Diplo	7,275,258,857	1,460,536,064	354	0	21	80	191	09/04/21
82	Migos	7,273,413,121	3,087,941,119	283	0	15	79	179	09/13/21
83	Fall Out Boy	7,263,653,078	35,132,756	191	0	15	92	164	09/04/21
84	Tyga	7,256,815,235	3,382,667,833	294	1	19	97	249	09/04/21
85	Young Thug	7,224,238,638	7,687,164,063	335	0	17	114	193	09/14/21
86	21 Savage	7,191,137,300	4,366,430,876	151	0	17	81	121	09/05/21
87	DaBaby	7,185,998,553	3,746,360,027	129	1	14	72	115	09/04/21
88	Alan Walker	7,173,596,458	1,595,520,159	128	1	16	58	104	09/06/21
89	John Mayer	7,088,840,933	444,759,346	196	0	15	110	171	09/14/21
90	Metallica	7,014,428,074	7,382,234	798	0	13	97	265	09/13/21
91	Macklemore	6,956,132,847	77,814,062	100	1	13	58	92	09/04/21
92	Sech	6,942,128,662	2,274,024,556	114	0	20	59	101	09/04/21
93	ZAYN	6,909,844,604	220,715,193	85	2	14	60	84	09/14/21
94	P!nk	6,879,470,701	512,096,371	237	0	19	78	154	09/14/21
95	DJ Snake	6,879,175,277	1,806,412,428	137	2	10	46	95	09/11/21
96	Lil Baby	6,856,889,855	5,909,830,536	164	0	16	99	150	09/08/21
97	Zedd	6,821,665,000	904,487,124	136	1	13	36	94	09/04/21
98	Lauv	6,785,249,663	112,903,416	95	1	19	58	89	09/05/21
99	Mac Miller	6,725,530,041	564,937,352	182	0	16	110	167	09/14/21
100	James Arthur	6,610,452,293	65,236,932	121	1	13	51	104	09/04/21
101	Little Mix	6,600,926,429	4,866,775	199	0	17	93	149	09/14/21
102	AC/DC	6,575,689,197	0	308	0	9	75	235	09/13/21
103	Pop Smoke	6,552,807,479	625,945,492	97	0	15	73	94	09/14/21
104	Lil Peep	6,510,062,159	262,340,096	92	0	17	79	92	09/13/21
105	Myke Towers	6,430,219,012	3,635,216,724	153	0	21	81	142	09/13/21
106	5 Seconds of Summer	6,392,550,446	466,905,487	158	1	12	89	155	09/14/21
107	Robin Schulz	6,389,860,935	296,395,690	207	0	14	46	135	09/04/21
108	Kodak Black	6,374,710,721	1,490,490,127	210	0	13	77	189	09/04/21
109	A$AP Rocky	6,374,223,308	4,460,778,180	79	0	16	67	73	09/13/21
110	A Boogie Wit da Hoodie	6,365,281,921	2,581,031,799	118	0	15	95	117	09/13/21
111	Justin Timberlake	6,218,034,947	1,790,186,964	167	1	13	64	109	09/14/21
112	Trippie Redd	6,198,478,408	2,411,172,010	184	0	20	107	170	09/04/21
113	NF	6,146,797,766	115,783,607	81	1	13	81	81	09/06/21
